TCS,ITC,IRC,RI,common_headlines
"No respite for TCS, Infosys & other IT firms in near term, Citi sticks to 'sell' calls",Buy ITC; target of Rs 515 Sharekhan,"Nifty may consolidate around 21,500 before extending northward journey, pick these 2 stock ideas",France's SMCP strikes deal with Reliance to expand into India,
"IT, pharma likely to be biggest beneficiaries of FII inflows. Here's why",Buy ITC; target of Rs 535: Motilal Oswal,"Nifty may consolidate around 21,500 before extending northward journey, pick these 2 stock ideas",Reliance gains on 'overweight' tag from JP Morgan with 17% upside,
Analyst Call Tracker: Pessimism in IT continues; AI can redeem IT stocks but not soon enough,Accumulate ITC; target of Rs 492: Prabhudas Lilladher,Hot stocks | Why you should bet on IRCTC and go bearish on M&M for short term,Stay with megacaps as 2024 ushers in uncertainties: Kotak note,
Buy Tata Consultancy Services; target of Rs 4200 Sharekhan,Buy ITC; target of Rs 525: Emkay Global Financial,Hot stocks | Why you should bet on IRCTC and go bearish on M&M for short term,Reliance Q1 results: Newbies cover the weakness of the legacy business,
Chartist Talks | Why this technical analyst anticipates Nifty sliding back to 200-day EMA,Buy ITC; target of Rs 533: KR Choksey,"IRCTC Standalone September 2023 Net Sales at Rs 995.32 crore, up 23.52% Y-o-Y","Reliance Consolidated June 2023 Net Sales at Rs 207,559.00 crore, down 5.36% Y-o-Y",
"Hot Stocks | Asian Paints, Reliance Industries, TCS can give decent returns in short term","ITC Consolidated September 2023 Net Sales at Rs 17,774.47 crore, up 3.9% Y-o-Y","IRCTC Q2: Net profit rises 30.36% to Rs 294.67 crore, revenue up 23.51%","Reliance in Q1: A look at profits, capex, booming businesses, and challenges",
"Infy, TCS lead as 4 out of India Inc Top 10 suffer Rs 23,417-cr loss to valuation",Buy ITC; target of Rs 515: Sharekhan,Hold Indian Railway Catering and Tourism Corporation; target of Rs 700: Prabhudas Lilladher,"Reliance Standalone June 2023 Net Sales at Rs 117,136.00 crore, down 20.6% Y-o-Y",
"Mcap of four of top 10 valued firms erode by Rs 23,417 cr; Infosys, TCS biggest laggards",Accumulate ITC; target of Rs 492: Prabhudas Lilladher,IRCTC Q1 PAT seen up 6.7% YoY to Rs. 262 cr: Prabhudas Lilladher,"Reliance on track to create Jio Financial Services, Ambani sees boost to inclusion",
"TCS Consolidated September 2023 Net Sales at Rs 59,692.00 crore, up 7.92% Y-o-Y",Buy ITC; target of Rs 535: Motilal Oswal,IRCTC shares gain 2% on MoU with MSRTC for online bus booking integration,"Reliance Jio Q1 net profit rises 12% YoY to Rs 4,863 crore",
"Q2 Earnings Review: The bigger they are, the harder they stall?","ITC falls on fear of near-term earnings, volumes moderation but brokerages bullish","IRCTC signs MoU with NBCC Services, shares slide marginally","RIL Q1 preview: Net profit seen at Rs 16,995 crore",
"TCS Standalone September 2023 Net Sales at Rs 50,165.00 crore, up 7.15% Y-o-Y","ITC Q2 preview: Net profit likely to rise on robust cigarette, FMCG, hotels sales growth","Hot Stocks | IRCTC, India Glycols, Jubilant Pharmova may deliver at least 10% return",Reliance shares open 2% higher on robust Q2 earningsÂ,
Accumulate Tata Consultancy Services; target of Rs 3888: KR Choksey,"ITC Q2 preview: Net profit likely to rise on robust cigarette, FMCG, hotels sales growth","Hot Stocks | IRCTC, India Glycols, Jubilant Pharmova may deliver at least 10% return",Jefferies sees $7-10 bn revenue opportunity for JioAirFiber,
Accumulate Tata Consultancy Services; target of Rs 3888: KR Choksey,"ITC Q2 preview: Net profit likely to rise on robust cigarette, FMCG, hotels sales growth","IRCTC gains nearly 3%, company declares dividend; check how much shareholders will be paid","Reliance sheds 3% after Rs 4,563-cr block deal, sends Nifty50 below 20,000",
Reading the tea leaves: Takeaways from Big ITâs Q2 results,Buy ITC; target of Rs 535: Motilal Oswal,IRCTC Q1 FY24: Why not the right stock to play the travel boom,"Reliance sheds 3% after Rs 4,563-cr block deal, sends Nifty50 below 20,000",
Hold Tata Consultancy Services; target of Rs 3708: ICICI Securities,Buy ITC; target of Rs 535: Emkay Global Financial,IRCTC shares fall on 7% decline in Q1 net profit,Reliance Industries to temporarily shut some Jamnagar units for maintenance,
Buy TCS; target of Rs 4060: Motilal Oswal,Buy ITC; target of Rs 496: Sharekhan,IRCTC sees no red flag from Adaniâs call to acquire Trainman,"KKR hikes stake in Reliance Retail Ventures, brokerages estimate fair value at Rs 1,200",
What to expect from IT sectorâs Q2 earnings,Accumulate ITC; target of Rs 478: Prabhudas Lilladher,"Hot Stocks | Bet on IRCTC, United Breweries for the short term","KKR hikes stake in Reliance Retail Ventures, brokerages estimate share price at Rs 1,200",
Buy Tata Consultancy Services; target of Rs 4200: Sharekhan,Buy ITC; target of Rs 540: Axis Securities,IRCTC Q4 FY23 â Why the ride is not that smooth for investors,"Reliance share valuation 'favourable' after correction, Jefferies raises price to Rs 2,950",
"TCS Consolidated June 2023 Net Sales at Rs 59,381.00 crore, up 12.55% Y-o-Y","ITC Standalone June 2023 Net Sales at Rs 15,828.20 crore, down 8.45% Y-o-Y",,Jio Financial Services gains after block deal; 49 million shares change hands,
"TCS Standalone June 2023 Net Sales at Rs 49,862.00 crore, up 12.1% Y-o-Y","ITC Consolidated June 2023 Net Sales at Rs 17,164.46 crore, down 7.17% Y-o-Y",,"Brokerages maintain RIL stock rating and target price, turn attention to earnings after AGM",
Buy Tata Consultancy Services; target of Rs 3915: KR Choksey,Accumulate ITC; target of Rs 478: Prabhudas Lilladher,,"CLSA maintains 'buy' rating on Reliance, raises target price to Rs 3,060 a share",
Buy Tata Consultancy Services; target of Rs 3915: KR Choksey,Buy ITC; target of Rs 525: Emkay Global Financial,,"Reliance AGM 2023 Highlights: JFS' insurance plans to next-gen on RIL board, Mukesh Ambani shares roadmap",
Buy Tata Consultancy Services; target of Rs 3882: Religare Retail Research,"ITC Q1 PAT seen up 11.5% YoY to Rs 4,650 cr: Nirmal Bang",,Reliance's 46th AGM today: A look at how shareholder base has changed in one year,
Buy TCS; target of Rs 3790: Motilal Oswal,,,Reliance's 46th AGM today: A look at how shareholder base has changed in one year,
Hold Tata Consultancy Services; target of Rs 3370: Axis Securities,,,A question of values: How Jio Financial Services stacks up against rivals,
Buy Tata Consultancy Services; target of Rs 3650: Sharekhan,,,Fitch Glitch: Investors lose Rs 3.56 lakh cr as Dalal Street joins global selloff,
"TCS Q1 Results: Net profit up 16.8% at Rs 11,074 crore, revenue at Rs 59,381 crore",,,Reliance Industries signs MoU with Brookfield for renewable power in Australia,
Buy TCS; target of Rs 3860: Motilal Oswal,,,Jio Financial Services investors sitting on 100% capital gain after price discovery,
,,,Reliance Demerger not a cause for Nifty fall,
,,,RIL-Jio Financial demerger: Cost of acquisition of RIL share implied at 95.32%,
